S. No.,Br. No. ,Br. Date ,Recid,Main_Category,Passed_Category,Contractor_name,Description_Kan,Description_Eng,Bill Pass Date,Bill Pass Amt,Paid Date,Paid Amt
380,2659,08-Jul-15,61348,Ashray Yojana,Ashray Yojana,Manjula Urf Pushapa C Halageri,£ÀªÀÄä ªÀÄ£É AiÉÆÃd£É CrAiÀÄ°è ²æÃªÀÄw. ªÀÄAdÄ¼Á G¥sÀğ ¥ÀÄµÁà ZÉ£Àß§¸À¥Àà ºÀ®UÉÃj EªÀjUÉ C£ÀÄzÁ£À ºÀt ©qÀÄUÀqÉ ªÀiÁqÀÄªÀ PÀÄjvÀÄ.,"Regarding grant sanction amount undere namma mane scheme to beneficiary Smt.Manjula urf Pushpa Chennabasappa Halageri
",10-Jul-15,20000,10-Jul-15,20000
381,2660,08-Jul-15,61346,Ashray Yojana,Ashray Yojana,Sharada Vittala Kambar,£ÀªÀÄä ªÀÄ£É AiÉÆÃd£É CrAiÀÄ°è ²æÃªÀÄw. ±ÁgÀzÁ PÉÆÃA «oÀ×® PÀA¨ÁgÀ EªÀjUÉ C£ÀÄzÁ£À ºÀt ©qÀÄUÀqÉ ªÀiÁqÀÄªÀ PÀÄjvÀÄ.,"Regarding grant sanction amount undere namma mane scheme to beneficiary Smt.Sharada Vittal Kambar
",10-Jul-15,20000,10-Jul-15,20000
382,2662,08-Jul-15,61371,Ashray Yojana,Ashray Yojana,Shantavva U Angadi,£ÀªÀÄä ªÀÄ£É AiÉÆÃd£É CrAiÀÄ°è ²æÃªÀÄw. ±ÁAvÀªÀé PÉÆÃA GªÉÄÃ±À CAUÀr EªÀjUÉ C£ÀÄzÁ£À ºÀt ©qÀÄUÀqÉ ªÀiÁqÀÄªÀ PÀÄjvÀÄ.,"Regarding grant sanction amount undere namma mane scheme to beneficiary Smt.Shantavva Umesh Angadi
",10-Jul-15,20000,10-Jul-15,20000
383,2661,08-Jul-15,61372,Ashray Yojana,Ashray Yojana,Patima K Shanawad,£ÀªÀÄä ªÀÄ£É AiÉÆÃd£É CrAiÀÄ°è ²æÃªÀÄw. ¥sÁwÃªÀiÁ PÁ²ªÀÄ¸Á§ ±Á£ÀªÁqÀ EªÀjUÉ C£ÀÄzÁ£À ºÀt ©qÀÄUÀqÉ ªÀiÁqÀÄªÀ PÀÄjvÀÄ.,"Regarding grant sanction amount undere namma mane scheme to beneficiary Smt. Fathima Kashimasaab Shamwad
",10-Jul-15,20000,10-Jul-15,20000
384,3496,05-Aug-15,73509,Ashray Yojana,Ashray Yojana,Noorjan Sabanna Nadaff,AiÀÄ¯Áè¥ÀÆgÀ D±ÀæAiÀÄ AiÉÆÃd£ÉUÁV ²æÃªÀÄw £ÀÆgÀdºÁ£À ¸Á§tÚ £ÀzÁ¥sÀ EªÀjUÉ ªÀAwUÉ ºÀt ¥ÀgÀvÀ ¤ÃqÀÄªÀ PÀÄjvÀÄ.,Yellapur Ashray Yojana Refund Amount Of Smt.Noorjan Sabanna Nadaff,06-Aug-15,21000,07-Aug-15,20000
385,3496,05-Aug-15,73509,Ashray Yojana,Ashray Yojana,Noorjan Sabanna Nadaff,AiÀÄ¯Áè¥ÀÆgÀ D±ÀæAiÀÄ AiÉÆÃd£ÉUÁV ²æÃªÀÄw £ÀÆgÀdºÁ£À ¸Á§tÚ £ÀzÁ¥sÀ EªÀjUÉ ªÀAwUÉ ºÀt ¥ÀgÀvÀ ¤ÃqÀÄªÀ PÀÄjvÀÄ.,Yellapur Ashray Yojana Refund Amount Of Smt.Noorjan Sabanna Nadaff,06-Aug-15,21000,07-Aug-15,1000
386,3495,05-Aug-15,73915,Ashray Yojana,Ashray Yojana,Chandrashekharayya Gurubasayya Betasurmath,AiÀÄ¯Áè¥ÀÆgÀ D±ÀæAiÀÄ AiÉÆÃd£ÉUÁV ªÀAwPÉ ºÀt ºÁUÀÆ ¸Á®zÀ ºÀtªÀ£ÀÄß ²æÃ. ZÀAzÀæ±ÉÃRgÀAiÀiÁå UÀÄgÀÄ§¸ÀAiÀiÁå ¨Él¸ÀÆgÀªÀÄoÀ  EªÀjUÉ ¥ÀgÀvÀ ¤ÃqÀÄªÀ PÀÄjvÀÄ.,Yellapur Ashray Yojana Refund Amount Of Shri.Chandrashekharayya Gurubasayya Betasurmath,06-Aug-15,21000,07-Aug-15,20000
387,3495,05-Aug-15,73915,Ashray Yojana,Ashray Yojana,Chandrashekharayya Gurubasayya Betasurmath,AiÀÄ¯Áè¥ÀÆgÀ D±ÀæAiÀÄ AiÉÆÃd£ÉUÁV ªÀAwPÉ ºÀt ºÁUÀÆ ¸Á®zÀ ºÀtªÀ£ÀÄß ²æÃ. ZÀAzÀæ±ÉÃRgÀAiÀiÁå UÀÄgÀÄ§¸ÀAiÀiÁå ¨Él¸ÀÆgÀªÀÄoÀ  EªÀjUÉ ¥ÀgÀvÀ ¤ÃqÀÄªÀ PÀÄjvÀÄ.,Yellapur Ashray Yojana Refund Amount Of Shri.Chandrashekharayya Gurubasayya Betasurmath,06-Aug-15,21000,07-Aug-15,1000
388,3829,17-Aug-15,61324,Ashray Yojana,Ashray Yojana,Shahida M Pattennavar,"ºÀÄ-zsÁ.ªÀÄ.¥Á°PÉAiÀÄ ""£ÀªÀÄä ªÀÄ£É"" AiÉÆÃd£É CrAiÀÄ°è ªÀ¸Àw ¤ªÀiÁğtPÁÌV gÁfÃªÀUÁA¢ü UÁæ«ÄÃt ªÀ¸Àw ¤UÀªÀÄ ¤AiÀÄ«ÄvÀgÀªÀjAzÀ ©qÀÄUÀqÉAiÀiÁzÀ C£ÀÄzÁ£À ºÀt ¸ÀAzÁAiÀÄ PÀÄjvÀÄ. ²æÃªÀÄw. ±Á»ÃzÁ PÉÆÃA ªÉÄºÀ§Æ§¸Á§ ¥ÀvÉÛ£ÀßªÀgÀ ",Regarding grant sanction amount undere namma mane scheme to beneficiary Smt.Shaheeda Mehaboobsaab Pattennavar,20-Aug-15,20000,22-Aug-15,20000
389,3825,17-Aug-15,61364,Ashray Yojana,Ashray Yojana,Ramabindu M Kulkarani,"ºÀÄ-zsÁ.ªÀÄ.¥Á°PÉAiÀÄ ""£ÀªÀÄä ªÀÄ£É"" AiÉÆÃd£É CrAiÀÄ°è ªÀ¸Àw ¤ªÀiÁğtPÁÌV gÁfÃªÀUÁA¢ü UÁæ«ÄÃt ªÀ¸Àw ¤UÀªÀÄ ¤AiÀÄ«ÄvÀgÀªÀjAzÀ ©qÀÄUÀqÉAiÀiÁzÀ C£ÀÄzÁ£À ºÀt ¸ÀAzÁAiÀÄ PÀÄjvÀÄ. ²æÃªÀÄw. gÀªÀiÁ ©AzÀÄ ªÀiÁzsÀªÀ PÀÄ®PÀtÂğ ",Regarding grant sanction amount undere namma mane scheme to beneficiary Smt.Rama Bindu Madhav Kulkarni,20-Aug-15,20000,22-Aug-15,20000
390,3828,17-Aug-15,61365,Ashray Yojana,Ashray Yojana,Akkavva A Patil,"ºÀÄ-zsÁ.ªÀÄ.¥Á°PÉAiÀÄ ""£ÀªÀÄä ªÀÄ£É"" AiÉÆÃd£É CrAiÀÄ°è ªÀ¸Àw ¤ªÀiÁğtPÁÌV gÁfÃªÀUÁA¢ü UÁæ«ÄÃt ªÀ¸Àw ¤UÀªÀÄ ¤AiÀÄ«ÄvÀgÀªÀjAzÀ ©qÀÄUÀqÉAiÀiÁzÀ C£ÀÄzÁ£À ºÀt ¸ÀAzÁAiÀÄ PÀÄjvÀÄ. ²æÃªÀÄw. CPÀÌªÁé C±ÉÆÃPÀ ¥ÁnÃ¯ï",Regarding grant sanction amount undere namma mane scheme to beneficiary Smt.Akkavva Ashok Patil,20-Aug-15,20000,22-Aug-15,20000
391,3827,17-Aug-15,61354,Ashray Yojana,Ashray Yojana,Lilamma Raju Jeevaratnam,"ºÀÄ-zsÁ.ªÀÄ.¥Á°PÉAiÀÄ ""£ÀªÀÄä ªÀÄ£É"" AiÉÆÃd£É CrAiÀÄ°è ªÀ¸Àw ¤ªÀiÁğtPÁÌV gÁfÃªÀUÁA¢ü UÁæ«ÄÃt ªÀ¸Àw ¤UÀªÀÄ ¤AiÀÄ«ÄvÀgÀªÀjAzÀ ©qÀÄUÀqÉAiÀiÁzÀ C£ÀÄzÁ£À ºÀt ¸ÀAzÁAiÀÄ PÀÄjvÀÄ. ²æÃªÀÄw. °Ã®ªÀiÁä gÁdÄ fÃªÀgÀvÀßA ",Regarding grant sanction amount under namma mane scheme to beneficiary Smt. Lilamma Raju Jeevaratnam,20-Aug-15,20000,22-Aug-15,20000
392,3826,17-Aug-15,61356,Ashray Yojana,Ashray Yojana,Paravinbanu S Mulagunda,"ºÀÄ-zsÁ.ªÀÄ.¥Á°PÉAiÀÄ ""£ÀªÀÄä ªÀÄ£É"" AiÉÆÃd£É CrAiÀÄ°è ªÀ¸Àw ¤ªÀiÁğtPÁÌV gÁfÃªÀUÁA¢ü UÁæ«ÄÃt ªÀ¸Àw ¤UÀªÀÄ ¤AiÀÄ«ÄvÀgÀªÀjAzÀ ©qÀÄUÀqÉAiÀiÁzÀ C£ÀÄzÁ£À ºÀt ¸ÀAzÁAiÀÄ PÀÄjvÀÄ. ²æÃªÀÄw. ¥ÀgÀ«£À¨Á£ÀÄ ¸ÉÊAiÀÄåzÀ¸Á§ ªÀÄÄ¼ÀUÀÄAzÀ ",Regarding grant sanction amount under namma mane scheme to beneficiary Smt.Paravinbanu Sayadsaab Mulgund,20-Aug-15,20000,22-Aug-15,20000
393,4703,12-Sep-14,54426,CM Spl. SFC 2012-13(25.45cr),CM SFC-2012-13(72 DWD),Sureban A.B.,1) EA¢gÁ£ÀUÀgÀzÀ 2 £ÉÃ ºÀAvÀzÀ M¼ÀgÀ¸ÉÛUÀ¼À ¹ªÉÄAl PÁAQæÃl PÁªÀÄUÁj. 2) ¸À®ÖgÀ ºË¸ï M¼ÀgÀ¸ÉÛUÀ¼À£ÀÄß PÁAQæÃl gÀ¸ÉÛ ªÀiÁqÀÄªÀÅzÀÄ. 3) ¥ÀqÀzÀAiÀÄå£À ºÀPÀÌ® ªÀÄvÀÄÛ ¨ÁåºÀnÖ ¥Áèl C©üªÀÈ¢İ ªÀiÁqÀÄªÀÅzÀÄ.,1) Regarding Concret Paving to Internal Roads Of Indira Nagar Roads In Ward No- 59 2) Concrete Paving to internal roads near slater house. 3) Improvements to padadayyana hakkal and Byahatti plot.,29-Sep-14,1005593,19-May-15,1005593
394,3978,20-Aug-14,62223,CM Spl. SFC 2012-13(25.45cr),CM SFC-2012-13(72 DWD),Sureban A.B.,"EAqÉAmï £ÀA.9765, ºÀÄ.«.ªÁqÀğ £ÀA.58gÀ UÁqÀğ£À¥ÉÃl gÀ¸ÉÛ qÁA§jÃPÀgÀt PÁªÀÄUÁj.",Regarding Black Top Road Works at Gardenpeth Roads in ward No : 58,29-Sep-14,768966,19-May-15,768966
395,4159,27-Aug-14,58889,CM Spl. SFC 2012-13(25.45cr),CM SFC-2012-13(72 DWD),Sureban A.B.,"EAqÉAmï £ÀA.9986, ºÀÄ«ªÁqÀğ £ÀA.53gÀ zÁf¨Á£À ¥ÉÃl UÀªÀ½UÀ°èAiÀÄ°è vÉgÉzÀ ZÀgÀAr, ºÁUÀÆ M¼ÀZÀgÀAr PÁªÀÄUÁj.",Regarding Drain and UGD line Roads Works at Dajibanpeth Roads in ward No :,29-Sep-14,779200,19-May-15,779200
396,4429,05-Sep-14,62219,CM Spl. SFC 2012-13(25.45cr),CM SFC-2012-13(72 DWD),Sureban A.B.,"EAqÉAmï £ÀA.9764, ºÀÄ.«.ªÁqÀğ £ÀA.55gÀ §¼ÉÆî½îªÀÄoÀ gÀ¸ÉÛ qÁA§jÃPÀgÀt PÁªÀÄUÁj.",Regarding Black Top Road Works at Ballollimath Roads in ward No : 55,29-Sep-14,966776,19-May-15,966776
397,4720,15-Sep-14,54676,CM Spl. SFC 2012-13(25.45cr),CM SFC-2012-13(72 DWD),Bagewadi Ishwarappa Mallappa,"EAqÉAmï £ÀA.9766, 1) £ÉÃPÁgÀ£ÀUÀgÀ §¸ÀªÉÃ±ÀégÀ£ÀUÀgÀ ¸ÀPÀğ¯ï ºÀ£ÀÄªÀÄAvÀ zÉÃªÀ¸ÁÜ£À¢AzÀ UÀuÉÃ±À PÁ®¤ UËqÀæ PÀ¯Áåt ªÀÄAl¥ÀzÀªÀgÉV£À gÀ¸ÉÛ PÁªÀÄUÁj. 2) ©qÁß¼À ±ÀQÛ£ÀUÀgÀ gÀ¸ÉÛUÀ¼ÀÄ C©üªÀÈ¢İ PÁªÀÄUÁj.",1) Regarding Road development Works at Nekar Nagar Basaweshwar Curcle Roads in ward No: 66 2) Roads developmant work in Bidanal Shaktinagar.,24-Nov-14,929542,19-May-15,929542
398,7426,18-Dec-14,54676,CM Spl. SFC 2012-13(25.45cr),CM SFC-2012-13(72 DWD),Bagewadi Ishwarappa Mallappa,"EAqÉAmï £ÀA.9766, £ÉÃPÁgÀ£ÀUÀgÀ §¸ÀªÉÃ±ÀégÀ£ÀUÀgÀ ¸ÀPÀğ¯ï ºÀ£ÀÄªÀÄAvÀ zÉÃªÀ¸ÁÜ£À¢AzÀ UÀuÉÃ±À PÁ®¤ UËqÀæ PÀ¯Áåt ªÀÄAl¥ÀzÀªÀgÉV£À gÀ¸ÉÛ PÁªÀÄUÁj
",Regarding Road development Works at Nekar Nagar Basaweshwar Curcle Roads in ward No: 66,06-Jan-15,289442,19-May-15,289442
399,8201,08-Jan-15,57001,CM Spl. SFC 2012-13(25.45cr),CM SFC-2012-13(72 DWD),Hanchin V B,§ÄzÀŞ«ºÁgÀ¢AzÀ ªÀiË¯Á° zÀUÁğzÀªÀgÉUÉ gÀ¸ÉÛ qÁA§jÃPÀgÀt ºÁUÀÆ M¼ÀgÀ¸ÉÛ ¹ªÉÄÃAl PÁAQæÃl ºÁUÀÆ vÉgÉzÀ ZÀgÀAr PÁªÀÄUÁj. ºÁUÀÆ ¸ÀtÚ¥ÀÄlÖ PÁªÀÄUÁjUÀ¼ÀÄ.,Regarding Road Asphalting Works at Buddavihar Darga Roads in ward No : 49,21-Jan-15,494845,19-May-15,494845
400,8573,22-Jan-15,57528,CM Spl. SFC 2012-13(25.45cr),CM SFC-2012-13(72 DWD),Talikoti Ravi G,"EAqÉAmï £ÀA.9994, ºÀÄ«ªÁqÀğ £ÀA.63gÀ CAiÉÆÃzÁå£ÀUÀgÀzÀ ²æÃgÁªÀÄ£ÀUÀgÀzÀ°è ¸ÀªÀÄÄzÁAiÀÄ ¨sÀªÀ£À PÁªÀÄUÁj.",Regarding Building Works at Ayodhya Nagar Roads in ward No : 63,04-Feb-15,1795462,19-May-15,1795462
401,9370,19-Feb-15,56731,CM Spl. SFC 2012-13(25.45cr),CM SFC-2012-13(72 DWD),Sureban A.B.,"EAqÉAmï £ÀA.9761, ºÀÄ«ªÁ£ÀA.63gÀ ¸ÀzÁ²ªÀ£ÀUÀgÀ £ÁgÁAiÀÄt ¥Á¸ÉÛAiÀÄªÀgÀ ªÀÄ£É¬ÄAzÀ ¸ÀzÁ²ªÀ£ÀUÀgÀ ªÀÄÄRå gÀ¸ÉÛ CAiÉÆÃzÁå£ÀUÀgÀ 4 £ÉÃ PÁæ¸ï ªÀgÉUÉ gÀ¸ÉÛ qÁA§jÃPÀgÀt ªÀiÁqÀÄªÀÅzÀÄ",Regarding Black Top Road Works at Sadashiva Nagar Roads in ward No : 63,26-Feb-15,1362640,19-May-15,1362640
402,9372,19-Feb-15,56923,CM Spl. SFC 2012-13(25.45cr),CM SFC-2012-13(72 DWD),Sureban A.B.,"EAqÉAmï £ÀA.9762, ºÀÄ«ªÁ£ÀA.64gÀ UË¹AiÀiÁ£ÀUÀgÀzÀ 7 G¥À ªÀÄÄRågÀ¸ÉÛUÀ¼À qÁA§jÃPÀgÀt PÁªÀÄUÁj. ºÁUÀÆ M¼ÀZÀgÀAr PÉÆÃ¼ÀªÉ ªÀiÁUÀğUÀ¼À PÁªÀÄUÁj.
",Regarding Black Top Road Works and UGD line Works at Gwasiya Nagar Roads in ward No : 64,28-Feb-15,698842,19-May-15,698842
403,98,10-Apr-15,54426,CM Spl. SFC 2012-13(25.45cr),CM SFC-2012-13(72 DWD),Sureban A.B.,1) EA¢gÁ£ÀUÀgÀzÀ 2 £ÉÃ ºÀAvÀzÀ M¼ÀgÀ¸ÉÛUÀ¼À ¹ªÉÄAl PÁAQæÃl PÁªÀÄUÁj. 2) ¸À®ÖgÀ ºË¸ï M¼ÀgÀ¸ÉÛUÀ¼À£ÀÄß PÁAQæÃl gÀ¸ÉÛ ªÀiÁqÀÄªÀÅzÀÄ. 3) ¥ÀqÀzÀAiÀÄå£À ºÀPÀÌ® ªÀÄvÀÄÛ ¨ÁåºÀnÖ ¥Áèl C©üªÀÈ¢İ ªÀiÁqÀÄªÀÅzÀÄ.,1) Regarding Concret Paving to Internal Roads Of Indira Nagar Roads In Ward No- 59 2) Concrete Paving to internal roads near slater house. 3) Improvements to padadayyana hakkal and Byahatti plot.,04-May-15,307063,19-May-15,307063
404,266,18-Apr-15,58889,CM Spl. SFC 2012-13(25.45cr),CM SFC-2012-13(72 DWD),Sureban A.B.,"EAqÉAmï £ÀA.9986, ºÀÄ«ªÁqÀğ £ÀA.53gÀ zÁfÃ¨Á£À ¥ÉÃl UÀªÀ½UÀ°èAiÀÄ°è vÉgÉzÀ ZÀgÀAr, ºÁUÀÆ M¼ÀZÀgÀAr PÁªÀÄUÁj 
",Regarding Drain and UGD line Roads Works at Dajibanpeth Roads in ward No :,04-May-15,1184408,19-May-15,1184408
405,263,18-Apr-15,62219,CM Spl. SFC 2012-13(25.45cr),CM SFC-2012-13(72 DWD),Sureban A.B.,"EAqÉAmï £ÀA.9764, ºÀÄ.«.ªÁqÀğ £ÀA.55gÀ §¼ÀÆîjªÀÄoÀ gÀ¸ÉÛ qÁA§jÃPÀgÀt PÁªÀÄUÁj 
",Regarding Black Top Road Works at Ballurimath Roads in ward No : 55,06-May-15,365702,19-May-15,365702
406,3440,31-Jul-14,57401,CM Spl. SFC 2012-13(25.45cr),CM SFC-2012-13(73 Central),Wali J.B.,ºÀÄ.«.ªÁqÀğ £ÀA 35gÀ ®QëÃ £ÁgÁAiÀÄt £ÀUÀgÀ ªÀÄÄRå gÀ¸ÉÛ ( °APÀ gÀ¸ÉÛ gÀ« £ÀUÀgÀ¢AzÀ ZÉvÀ£Á PÁ¯ÉÃd gÀ¸ÉÛªÀgÉUÉ ) ºÁUÀÆ M¼À gÀ¸ÉÛUÀ¼À qÁA§jÃPÀgÀt ªÀiÁqÀÄªÀÅzÀÄ.,Regarding Black Top Road Works at Laxmi Narayan Nagar main Roads in ward No : 35,29-Sep-14,4457965,19-May-15,4457965
407,4431,05-Sep-14,59889,CM Spl. SFC 2012-13(25.45cr),CM SFC-2012-13(73 Central),Sureban A.B.,"EAqÉAmï £ÀA.9995, 1) ºÀÄ.«.ªÁqÀğ £ÀA 45 gÀ°è VgÀtÂZÁ¼À 4 £ÉÃ PÁæ¸ï£À°è qÁA§jÃPÀgÀt C©üÃªÀÈ¢Ş ªÀiÁqÀÄªÀÅzÀÄ. 2) ZÁtPÀå¥ÀÆj gÀ¸ÉÛUÀ¼À£ÀÄß C©üªÀÈ¢İ ¥Àr¸ÀÄªÀÅzÀÄ. 3) ºÉÆ¸ÀÆgÀÄ PÉ£ÀgÁ ºÉÆÃmÉ¯ï »AzÀÄUÀqÉ PÀ®ÆègÀ ªÀÄ£É JzÀÄjUÉ ªÀÄvÀÄÛ M¼ÀgÀ¸ÉÛUÀ¼À£ÀÄß C©üªÀÈ¢İ ¥Àr¸ÀÄªÀÅzÀÄ.",Ward No 45 1) Improvement of road with Asphalt to Girani Chal 4th Cross. 2) Improvements Of Chanukyapuri Roads. 3) Improvements to Hosur Canara Hotel Behind Kallur Home and Surounding All Roads.,28-Oct-14,310320,19-May-15,310320
408,6242,10-Nov-14,62000,CM Spl. SFC 2012-13(25.45cr),CM SFC-2012-13(73 Central),Mahalingashetti and Company Ltd,"EAqÉÃmï £ÀA 9951 1) dAiÀÄ¥ÀæPÁ±À£ÀUÀgÀ, ¥ÀzÀägÁd£ÀUÀgÀ, ªÀÄAiÀÄÆj UÁqÀğ£ï, ¸À£Áä£À PÁ®¤AiÀÄ°è gÀ¸ÉÛ PÁAQæÃmï ¸ÀªÉÄÃvÀ C©üªÀÈ¢Ş ªÀiÁqÀÄªÀÅzÀÄ.",Regarding Concret Road Works at ayaprkash Nagar Mayur Garden Works  in ward No : 40,26-Nov-14,476579,19-May-15,476579
409,6508,19-Nov-14,57541,CM Spl. SFC 2012-13(25.45cr),CM SFC-2012-13(73 Central),Pantoji Mehmood .Hajrath.,"EAqÉAmï £ÀA.9756, ªÁqÀğ £ÀA 45 gÀ°è §gÀÄªÀ VgÀtÂZÁ¼ÀzÀ°è J®è gÀ¸ÉÛUÀ¼À C©üªÀÈ¢Ş¥Àr¸ÀÄªÀÅzÀÄ.",Regarding Road Development Works at Giranichal Roads in ward No : 45,15-Dec-14,2058381,19-May-15,2058381
410,10130,13-Mar-15,59889,CM Spl. SFC 2012-13(25.45cr),CM SFC-2012-13(73 Central),Sureban A.B.,"EAqÉAmï £ÀA.9995, 1) ºÀÄ.«.ªÁqÀğ £ÀA 45 gÀ°è VgÀtÂZÁ¼À 4 £ÉÃ PÁæ¸ï£À°è qÁA§jÃPÀgÀt C©üÃªÀÈ¢Ş ªÀiÁqÀÄªÀÅzÀÄ. 2) ZÁtPÀå¥ÀÆj gÀ¸ÉÛUÀ¼À£ÀÄß C©üªÀÈ¢İ ¥Àr¸ÀÄªÀÅzÀÄ. 3) ºÉÆ¸ÀÆgÀÄ PÉ£ÀgÁ ºÉÆÃmÉ¯ï »AzÀÄUÀqÉ PÀ®ÆègÀ ªÀÄ£É JzÀÄjUÉ ªÀÄvÀÄÛ M¼ÀgÀ¸ÉÛUÀ¼À£ÀÄß C©üªÀÈ¢İ ¥Àr¸ÀÄªÀÅzÀÄ.",Ward No 45 1) Improvement of road with Asphalt to Girani Chal 4th Cross. 2) Improvements Of Chanukyapuri Roads. 3) Improvements to Hosur Canara Hotel Behind Kallur Home and Surounding All Roads.,28-Mar-15,1100715,19-May-15,1100715
411,10444,26-Mar-15,57400,CM Spl. SFC 2012-13(25.45cr),CM SFC-2012-13(73 Central),Wali J.B.,"ºÀÄ.«.ªÁqÀğ £ÀA 33 gÀ°è §gÀÄªÀ ¨sÀªÁ¤ £ÀUÀgÀ C±ÉÆÃPÀ PÁlªÉgÀªÀgÀ ªÀÄ£É ªÀÄÄA¢£À gÀ¸ÉÛ qÁA§jÃPÀgÀt ªÀiÁqÀÄªÀÅzÀÄ.
",Regarding Black Top Road Works at Bhavani Nagar Roads in Works in ward No : 33,30-Mar-15,2129701,19-May-15,2129701
412,9650,02-Mar-15,54422,CM Spl. SFC 2012-13(25.45cr),CM SFC-2012-13(73 Central),Sureban A.B.,ºÀÄ.«.ªÁqÀğ £ÀA 26gÀ PÉÆgÀ«AiÀÄªÀgÀ NtÂAiÀÄ°è qÁA§jÃPÀgÀt ªÀiÁqÀÄªÀÅzÀÄ. GtPÀ¯ï UÁæªÀÄzÀ gÀ¸ÉÛUÀ¼À£ÀÄß C©üÃªÀÈ¢Ş ¥Àr¸ÀÄªÀÅzÀÄ.,Regarding Road Develpoment Works at Koravi Oni Roads in ward No : 26(Indent No-9703),28-Mar-15,294398,19-May-15,294398
413,10787,31-Mar-15,57396,CM Spl. SFC 2012-13(25.45cr),CM SFC-2012-13(73 Central),Sureban A.B.,"¨sÉÊjzÉÃªÀgÀPÉÆ¥Àà, gÉÃtÄPÁ£ÀUÀgÀ, G¦à£À ¯ÉÃOlzÀ°è gÀ¸ÉÛ qÁA§jÃPÀgÀt.
","Regarding Black Top Road Works at Bairidevarkoppa , Renuks Nagar Roads in ward No : 25",08-Apr-15,711203,19-May-15,711203
414,10803,31-Mar-15,58916,CM Spl. SFC 2012-13(25.45cr),CM SFC-2012-13(73 Central),Sureban A.B.,"£ÀÆå PÁl£ï ªÀiÁPÉÃğlzÀ°èAiÀÄ ºÁ¼ÁzÀ gÀ¸ÉÛUÀ¼À£ÀÄß C©üÃªÀÈ¢Ş¥Àr¸ÀÄªÀÅzÀÄ.
",Regarding Road Development Works at New Catan Market Roads in ward No : 46,13-Apr-15,1293341,19-May-15,1293341
415,411,23-Apr-15,57399,CM Spl. SFC 2012-13(25.45cr),CM SFC-2012-13(73 Central),Sureban A.B.,ºÀÄ.«.ªÁqÀğ £ÀA 30 ±ÁAw£ÀUÀgÀÀ ZÀZÀğ ºÀwÛgÀzÀ gÀ¸ÉÛUÀ½UÉ qÁA§jÃPÀgÀt ªÀiÁqÀÄªÀÅzÀÄ.,Regarding Black Top Road Works at Shanti Nagar Roads in ward No : 30,06-May-15,741316,19-May-15,741316
416,265,18-Apr-15,62210,CM Spl. SFC 2012-13(25.45cr),CM SFC-2012-13(73 Central),Sureban A.B.,"ºÉUÉÎÃj §qÁªÀuÉAiÀÄ M¼ÀgÀ¸ÉÛUÀ¼À C©üªÀÈ¢Ş ¥Àr¸ÀÄªÀÅzÀÄ.
",Regarding Road Development Works at Heggeri Badavane in ward No : 41 I.No-9985,07-May-15,1294289,19-May-15,1294289
417,2754,08-Jul-14,54729,CM Spl. SFC 2012-13(25.45cr),CM SFC-2012-13(74 West),Mahalingashetti and Company Ltd,"ºÀÄ.«.ªÁ.£ÀA 23gÀ £ÀªÀ£ÀUÀgÀ J¯ï,DAiÀiï, f, 9,10,13 £ÉÃ PÁæ¸ï ªÀÄvÀÄÛ 14 £ÉÃ PÁæ¸ï gÀ¸ÉÛUÀ½UÉ qÁA§jÃPÀgÀt ªÀiÁqÀÄªÀÅzÀÄ.",Regaridng Black Top Road Works at Navanagar Roads in ward No : 23(Indent No-9892),12-Aug-14,2625030,19-May-15,2625030
418,10791,31-Mar-15,58390,CM Spl. SFC 2012-13(25.45cr),CM SFC-2012-13(74 West),Sureban A.B.,"gÉÃtÄPÁ£ÀUÀgÀ PÁæ¸ï £ÀA 5,6,7,8, ªÀÄvÀÄÛ PÀÄªÀiÁgÀ¥ÁPÀğ zÉÃ«£ÀUÀgÀ UÀÄr gÀ¸ÉÛ ¸ÀÄzsÁgÀuÉ ªÀiÁqÀÄªÀÅzÀÄ.
",Regaridng Road Development Works at Renuka Nagar Rads in ward No : 36,09-Apr-15,2373919,19-May-15,2373919
419,713,04-May-15,57639,CM Spl. SFC 2012-13(25.45cr),CM SFC-2012-13(74 West),Sureban A.B.,"CzsÁå¥ÀPÀ£ÀUÀgÀ, £ÀªÀ£ÀUÀgÀ, FqÀ§Æè, J¸ï, ¥ÉÆèÃgÁ ¥ÁPÀğ gÀ¸ÉÛ C©üªÀÈ¢Ş ªÀiÁqÀÄªÀÅzÀÄ.","Regarding Road Development Works at Adhyapak Nagar , Nava Nagar Roads in ward No : 24",08-May-15,430861,19-May-15,430861
420,437,24-Apr-15,58640,CM Spl. SFC 2012-13(25.45cr),CM SFC-2012-13(72 DWD),Hanchin S.J.,"CA¨ÉÃqÀÌgÀ PÁ®¤ ªÀÄÆgÀ£ÉÃAiÀÄ CqÀØ gÀ¸ÉÛUÉ PÁAQæÃl.
",Regarding Concrete Road Works at Ambedkar Colony 3rd Cross in ward No : 50,23-May-15,1836304,25-May-15,1836304
